reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622883233-13059	4248	Geranium 'Azure Rush'®	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker	blauw    	 45 cm  	    35 cm  	    35 cm  	  5-11
1622880242-7049	4249	Mentha suaveolens (APPELMUNT)	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie       Woekerend         Aromatisch   vlinderplant nectar  bijenplant	roze    	 50 cm  	    40 cm  	    40 cm  	  7- 8
1622880537-7726	4250	Aster ericoides 'Schneetanne'	zon              	fris                	aantal  : 3 tot 5 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	120 cm  	    70 cm  	    70 cm  	  9-11
1622884898-16901	4251	Ligularia dentata 'Desdemona'	zon   half schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	geel    	100 cm  	    60 cm  	    60 cm  	  7- 9
1622879938-6355	4252	Carex morrowii 'Variegata'	half schaduw  schaduw             	fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               bladhoudend  bodembedekker	bruin    	 30 cm  	    20 cm  	    20 cm  	  3- 5
1622883062-12655	4253	Hypericum olympicum 'Citrinum'	zon              	droog                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Ondiepe, droge bodem (OB1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend	geel    	 15 cm  	    10 cm  	    10 cm  	  6- 8
1622882399-11292	4254	Nepeta racemosa 'Snowflake'	zon              	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1B)     Stenige, droge bodem (ST1)          extra informatie               Aromatisch   vlinderplant nectar  bijenplant	wit    	 20 cm  	    10 cm  	    10 cm  	  5- 9
1622880555-7752	4255	Geranium nodosum 'Silverwood'	half schaduw  schaduw             	fris                	aantal  : 8 tot 12 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie       Uitzaaiend	wit    	 20 cm  	    15 cm  	    15 cm  	  6- 7
1622884365-15728	4256	Baptisia australis 'Starlite Prairieblues'	zon              	droog fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie	blauw    	 90 cm  	    70 cm  	    70 cm  	  6- 8
1622881188-8944	4257	Delphinium elatum 'Delphi Micky' PBR	zon              	               	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	blauw    	 80 cm  	    35 cm  	    35 cm  	  6- 9
1622880695-8011	4258	Anemone hybrida (x) 'Dainty Swan' PBR	zon   half schaduw             	               	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  bijenplant	wit    	 50 cm  	    30 cm  	    30 cm  	  7- 9
1622883153-12884	4259	Delphinium elatum 'Delphi Diamant' PBR	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	wit    	150 cm  	   100 cm  	   100 cm  	  6- 9
1622881204-8967	4260	Panicum virgatum 'Shenandoah'	zon              	fris                	aantal  : 4 tot 6 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	rood    	120 cm  	    80 cm  	    80 cm  	  8-10
1622879889-6245	4261	Helianthus salicifolius var. orgyalis	zon              	droog fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Licht woekerend         snijbloem  bijenplant	geel    	250 cm  	   200 cm  	   200 cm  	  8-10
1622880038-6552	4262	Echinacea purpurea 'Funky White'	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 80 cm  	    30 cm  	    30 cm  	  6- 8
1622882518-11591	4263	Artemisia stelleriana 'Boughton Silver'	zon              	droog                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1B)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  Aromatisch	grijs    	 20 cm  	    20 cm  	    20 cm  	  8- 9
1622883363-13437	4264	Lamium maculatum 'Roseum'	half schaduw  schaduw             	droog fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  bodembedekker  bijenplant	roze    	 25 cm  	    10 cm  	    10 cm  	  4- 7
1622881804-10293	4265	Aster alpinus 'Happy End'	zon              	droog fris                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Ondiepe, droge bodem (OB1)     Ondiepe, frisse bodem (OB2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               vlinderplant nectar  bijenplant	roze    	 20 cm  	    10 cm  	    10 cm  	  5- 6
1622880530-7713	4266	Hemerocallis 'Cool It'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch	wit    	 60 cm  	    30 cm  	    30 cm  	  7- 8
1622879811-6073	4267	Helianthus decapetalus 'Capenoch Star'	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	geel    	120 cm  	   100 cm  	   100 cm  	  8-10
1622879982-6453	4268	Agastache rugosa 'Little Adder'	zon              	droog             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)          extra informatie       Uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar  bijenplant	violet    	 50 cm  	    30 cm  	    30 cm  	  6- 8
1622883692-14114	4269	Aster novae-angliae 'Andenken an Alma Pötschke'	zon              	fris                	aantal  : 2 tot 4 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 80 cm  	    70 cm  	    70 cm  	  9-10
1622884618-16299	4270	Aster universum 'Monte Cassino'	zon   half schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	 80 cm  	    60 cm  	    60 cm  	 10-11
1622884011-14816	4271	Onoclea sensibilis	half schaduw  schaduw             	fris vochtig                	aantal  : 7 tot 9 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht woekerend	groen    	 50 cm  	    50 cm  	    50 cm  	  0- 0
1622884135-15091	4272	Geranium 'Magical All Summer Blue' PBR	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker	blauw    	 40 cm  	    25 cm  	    25 cm  	  6-11
1622883973-14740	4273	Pulmonaria angustifolia 'Blaues Meer'	half schaduw             	fris vochtig                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie               bijenplant	blauw    	 25 cm  	    15 cm  	    15 cm  	  3- 5
1622883710-14139	4274	Achillea millefolium 'Sunny Seduction'	zon              	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar	geel    	 80 cm  	    40 cm  	    40 cm  	  6- 8
1622883298-13246	4275	Boltonia asteroides 'Snowbank'	zon   half schaduw             	fris                	aantal  : 4 tot 6 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	wit    	120 cm  	   100 cm  	   100 cm  	  8-10
1622884166-15184	4276	Silphium perfoliatum	zon              	fris vochtig                	aantal  : 1 tot 1 per m2  - alleen of in kleine toefen (A)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	geel    	250 cm  	   200 cm  	   200 cm  	  7- 9
1622883478-13687	4277	Baptisia australis 'Dutch Chocolate'	zon              	droog fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie	paars    	 90 cm  	    80 cm  	    80 cm  	  6- 8
1622880582-7802	4278	Amsonia tabernaemontana JS® 'Stella Azul'	zon   half schaduw             	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem                                                                                              JS	blauw    	 90 cm  	    80 cm  	    80 cm  	  5- 7
1622880844-8297	4279	Narcissus 'Heamoor'	zon              	droog fris                	DRIFT	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem                                                                                              New	geel    	 45 cm  	    20 cm  	    20 cm  	  3- 4
1622884177-15224	4280	Carex divulsa	half schaduw  schaduw             	fris                	7 10 BC	Bos en onder bomen met droge bodem (B1)     Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend                                                                                              New	groen    	 30 cm  	    20 cm  	    20 cm  	  5- 6
1622881655-9926	4281	Geranium 'Sirak'	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - werkelijk zeer grote vlakken (E)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               bodembedekker	roze    	 50 cm  	    30 cm  	    30 cm  	  6- 7
1622884103-15011	4282	Succisa pratensis	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Sterk uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	violet    	100 cm  	    40 cm  	    40 cm  	  8- 9
1622882142-10885	4283	Acaena microphylla	zon              	droog fris                	aantal  : 8 tot 12 per m2  - werkelijk zeer grote vlakken (E)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Ondiepe, droge bodem (OB1)     Ondiepe, frisse bodem (OB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  bodembedekker	bruin    	 10 cm  	    10 cm  	    10 cm  	  6- 8
1622883830-14425	4284	Echinacea purpurea 'Hot Lava' PBR	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	rood    	 80 cm  	    40 cm  	    40 cm  	  7- 9
1622879620-5676	4285	Pulsatilla vulgaris	zon              	droog                	aantal  : 6 tot 9 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1)     Steppe (kalk) met droge bodem (SH1)     Stenige, droge bodem (ST1)          extra informatie               bijenplant	violet    	 20 cm  	    10 cm  	    10 cm  	  3- 4
1622881252-9092	4286	Salvia nemorosa 'Viola Klose'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	blauw    	 40 cm  	    20 cm  	    20 cm  	  6- 8
1622880706-8030	4287	Aster dumosus 'Bahamas'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker  snijbloem  vlinderplant nectar  bijenplant	rood    	 35 cm  	    30 cm  	    30 cm  	  9-10
1622883740-14201	4288	Ranunculus acris 'Sulphureus'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Sterk uitzaaiend	geel    	 70 cm  	    20 cm  	    20 cm  	  5- 7
1622884446-15911	4289	Centranthus ruber 'Coccineus'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie       Uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar	rood    	 70 cm  	    50 cm  	    50 cm  	  6- 8
1622880134-6810	4290	Alcea rosea 'Charters Weiss'	zon              	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	wit    	170 cm  	    30 cm  	    30 cm  	  7- 9
1622884186-15252	4291	Iris 'Bianca' (Germanica-Group)	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem	wit    	 70 cm  	    40 cm  	    40 cm  	  5- 6
1622882965-12384	4292	Agapanthus 'Polar Ice' (Trumpet-Group)	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  bijenplant	wit    	 60 cm  	    30 cm  	    30 cm  	  7- 9
1622883560-13865	4293	Aquilegia vulgaris 'Ruby Port'	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie       Uitzaaiend         snijbloem  bijenplant	rood    	 70 cm  	    30 cm  	    30 cm  	  5- 7
1622884034-14881	4294	Astilbe arendsii 'Fanal'	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	rood    	 60 cm  	    30 cm  	    30 cm  	  7- 8
1622884842-16761	4295	Gypsophila 'Rosenschleier'	zon              	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Muurbeplanting met droge bodem (M1)     Muurbeplanting met frisse bodem (M2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bodembedekker  snijbloem  bijenplant	roze    	 30 cm  	    10 cm  	    10 cm  	  6- 9
1622884341-15651	4296	Primula japonica 'Alba'	half schaduw             	fris vochtig                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3B)          extra informatie       Uitzaaiend	wit    	 60 cm  	    20 cm  	    20 cm  	  5- 7
1622882715-11905	4297	Primula bulleyana	half schaduw             	fris vochtig                	aantal  : 8 tot 12 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie	oranje    	 60 cm  	    20 cm  	    20 cm  	  6- 7
1622882291-11151	4298	Papaver orientale 'Beauty of Livermere'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant	rood    	 60 cm  	    30 cm  	    30 cm  	  5- 6
1622880826-8246	4299	Geranium 'Anne Thomson'	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               bodembedekker	paars    	 30 cm  	    15 cm  	    15 cm  	  6-10
1622883659-14046	4300	Salvia nemorosa 'Pink Friesland' PBR	zon              	droog fris                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	roze    	 50 cm  	    20 cm  	    20 cm  	  6- 8
1622882671-11844	4301	Echinops bannaticus 'Taplow Blue'	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	100 cm  	    40 cm  	    40 cm  	  7- 9
1622880634-7890	4302	Echinacea purpurea 'Fountain Pink Eye'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 45 cm  	    25 cm  	    25 cm  	  6- 9
1622881466-9549	4303	Aconitum henryi 'Spark's Variety'	zon   half schaduw             	fris                	aantal  : 7 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	violet    	120 cm  	    70 cm  	    70 cm  	  6- 8
1622882778-12015	4304	Colchicum autumnale 'Major'	zon   half schaduw             	droog fris                	DRIFT	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)          extra informatie               bijenplant	lila    	 15 cm  	    30 cm  	    30 cm  	  8-11
1622879647-5744	4305	Nepeta 'Joanna Reed'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker  Aromatisch   snijbloem  vlinderplant nectar  bijenplant    macho                                                                                            New	blauw    	 70 cm  	    50 cm  	    50 cm  	  6- 9
1622879773-6011	4306	Veronica 'Eveline' PBR	zon              	fris vochtig                	aantal  : 8 tot 12 per m2	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               bijenplant	violet    	 40 cm  	    20 cm  	    20 cm  	  6- 9
1622879593-5605	4307	Pycnanthemum pilosum	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	wit    	 70 cm  	    50 cm  	    50 cm  	  7- 9
1622881147-8872	4308	Buglossoides purpurocaerulea	zon   half schaduw             	droog                	aantal  : 8 tot 12 per m2	Bos en onder bomen met droge bodem (B1)     Bosrand met droge bodem (BR1)     Droge bodem met grind (GR1)     Stenige, droge bodem (ST1)          extra informatie               bladhoudend  bodembedekker  bijenplant    macho	blauw    	 30 cm  	    20 cm  	    20 cm  	  6- 6
1622881684-10015	4309	Ceratostigma plumbaginoides	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Licht woekerend         bodembedekker	blauw    	 40 cm  	    30 cm  	    30 cm  	  8-10
1622883076-12687	4310	Echinacea PRETTY PARASOLS  'JS Engeltje' PBR	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                JS	roze    	 70 cm  	    35 cm  	    35 cm  	  7-11
1622881840-10357	4311	Astilbe thunbergii 'Straussenfeder'	half schaduw             	fris vochtig                	aantal  : 4 tot 6 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	roze    	100 cm  	    50 cm  	    50 cm  	  7- 8
1622884287-15519	4312	Kniphofia 'Bees Lemon'	zon              	            afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem	geel    	100 cm  	    50 cm  	    50 cm  	  8-10
1622884051-14915	4313	Ajuga reptans 'Alba'	zon   half schaduw             	fris vochtig                	aantal  : 9 tot 15 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant	wit    	 15 cm  	     5 cm  	     5 cm  	  5- 6
